trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6622820409839835}",20,0,-19.650917267082168,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6556592205741436}",25,0,-63.263441120659444,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6491026283684022}",25,0,-79.76444313043129,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,5,-4.786397400333765,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,0,-18.975720395466944,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.6298236312032323}",25,0,-49.913165944032144,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.6235253948912}",20,12,17.29382070218037,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.617290140942288}",20,0,-27.802655007941237,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.611117239532865}",25,20,10.920034674383942,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.6050060671375364}",25,11,-53.47554957962155,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.598956006466161}",25,0,-80.29986403762615,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.5929664464014994}",25,0,-102.57815589906377,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.5870367819374844}",25,5,-124.67605697035775,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",1
55,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,13,14.854552540171587,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5753547499769285}",25,16,-10.06220220598632,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5696012024771592}",25,11,-45.36236494117911,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.5639051904523875}",25,6,-26.11912364598492,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.5582661385478637}",25,8,-74.45505522925265,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.5526834771623851}",25,0,-90.904460710107,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
